Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
The Oriental Massage - Dr.Quang,Số 21 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19596439-Reviews-The_Oriental_Massage_Dr_Quang-Hanoi.html,5,5,4,1,0,0,0,4/21/2022,Hà Nội
The Black Sheep - Cocktail Theatre,Số 96 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19517231-Reviews-The_Black_Sheep_Cocktail_Theatre-Hanoi.html,3,2,1,0,0,0,1,4/21/2022,Hà Nội
Hanoi Airport Transfer Company,Số 19 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,08:30 - 17:00,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19484956-Reviews-Hanoi_Airport_Transfer_Company-Hanoi.html,5,75,75,0,0,0,0,4/21/2022,Hà Nội
The Bedroom,Số 132 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19466086-Reviews-The_Bedroom-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
The Garden Nail Spa 2 - Ta Hien,Số 104 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 19:00,153,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19261956-Reviews-The_Garden_Nail_Spa_2_Ta_Hien-Hanoi.html,5,15,14,1,0,0,0,4/21/2022,Hà Nội
Juan's Brother Bespoke,Số 352 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 20:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19255190-Reviews-Juan_s_Brother_Bespoke-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Red Moon Gallery,Số 117 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1908755-Reviews-Red_Moon_Gallery-Hanoi.html,4,8,3,4,0,1,0,4/21/2022,Hà Nội
Chợ Nhà Xanh,Số 241 trong 259 hoạt động giải trí tại Hà Nội,Chợ trời & chợ đường phố,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19085773-Reviews-Nha_Xanh_Market-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Ocean Spa,Số 270 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19042186-Reviews-Ocean_Spa-Hanoi.html,1,2,0,0,0,0,2,4/21/2022,Hà Nội
Ngoc Diep Souvenir,Số 357 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,20:30 - 18:30,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18996041-Reviews-Ngoc_Diep_Souvenir-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Armoury Sartorial,Số 363 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18340694-Reviews-Armoury_Sartorial-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Ha Noi Spa Nails and Body Treatment,Số 295 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18114805-Reviews-Ha_Noi_Spa_Nails_and_Body_Treatment-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Goethe Institut,Số 167 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm giáo dục,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1797932-Reviews-Goethe_Institut-Hanoi.html,3.5,15,5,4,1,2,3,4/21/2022,Hà Nội
69 Quiz Vietnam,Số 42 trên 101 Vui chơi & Giải trí ở Hà Nội,Trung tâm trò chơi & giải trí,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17852949-Reviews-69_Quiz_Vietnam-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Hoang's Cooking Class,Số 10 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,Đang mở cửa,"09:00 - 12:30, 14:30 - 18:00",42,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17779626-Reviews-Hoang_s_Cooking_Class-Hanoi.html,5,84,84,0,0,0,0,4/21/2022,Hà Nội
Sister Beauty Spa,Số 141 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 20:00,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17749644-Reviews-Sister_Beauty_Spa-Hanoi.html,5,6,6,0,0,0,0,4/21/2022,Hà Nội
NGUYEN MAI HUY,Số 85 trên 101 Vui chơi & Giải trí ở Hà Nội,Xưởng vẽ & làm đồ gốm,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17738163-Reviews-NGUYEN_MAI_HUY-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Thủy Anh Vũ,Số 153 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17736371-Reviews-Th_y_Anh_Vu-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Excellence Spa Tây Hồ,Số 299 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17732042-Reviews-Excellence_Spa_Tay_Ho-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Song Thu Art Gallery,Số 191 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17695803-Reviews-Song_Thu_Art_Gallery-Hanoi.html,4,1,0,1,0,0,0,4/21/2022,Hà Nội
Cửa Hàng Thời Trang XK,Số 102 trong 259 hoạt động giải trí tại Hà Nội,Cửa hàng của nhà máy,Đang mở cửa,10:00 - 22:00,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17579818-Reviews-Factory_Outlet_Hanoi-Hanoi.html,4.5,7,5,1,0,1,0,4/21/2022,Hà Nội
Dennis HFK,Số 29 trên 101 Vui chơi & Giải trí ở Hà Nội,Xưởng vẽ & làm đồ gốm • Lớp nấu ăn,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17548309-Reviews-Dennis_HFK-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Quartzaholic - Handmade Jewelry & Gems,Số 294 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17450584-Reviews-Quartzaholic_Handmade_Jewelry_Gems-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Whiskey Mystics and Men - W2M,Số 92 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17427175-Reviews-Whiskey_Mystics_and_Men_W2M-Hanoi.html,4,1,0,1,0,0,0,4/21/2022,Hà Nội
Joker Club,Số 91 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17389919-Reviews-Joker_Club-Hanoi.html,4,1,0,1,0,0,0,4/21/2022,Hà Nội
Xscape Land,Số 90 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17337651-Reviews-Xscape_Land-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Winecellar.vn,Số 76 trên 158 Giải trí về đêm ở Hà Nội,Quán bar rượu vang,Đang mở cửa,08:30 - 21:00,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17337514-Reviews-Winecellar_vn-Hanoi.html,4,2,0,2,0,0,0,4/21/2022,Hà Nội
Ginkgo T-Shirts Store Hang Be,Số 226 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17201985-Reviews-Ginkgo_T_Shirts_Store_Hang_Be-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Ginkgo,Số 370 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17201982-Reviews-Ginkgo-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Ginkgo T-Shirts Store Hang Gai,Số 176 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17201978-Reviews-Ginkgo_T_Shirts_Store_Hang_Gai-Hanoi.html,4.5,3,1,2,0,0,0,4/21/2022,Hà Nội
Spas Hanoi Luxury,Số 73 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 22:00,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16882855-Reviews-Spas_Hanoi_Luxury-Hanoi.html,5,32,32,0,0,0,0,4/21/2022,Hà Nội
Phong Thủy Mộc Nhiên Tâm An,Số 371 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16850115-Reviews-Phong_Thuy_Moc_Nhien_Tam_An-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Cho Thuê Xe Máy Tại Hà Nội,Số 897 trên 949 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16671119-Reviews-Cho_Thue_Xe_May_Tai_Ha_Noi-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Sunny Spa & Wellness,Số 81 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,12,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15757711-Reviews-Sunny_Spa_Wellness-Hanoi.html,5,28,28,0,0,0,0,4/21/2022,Hà Nội
Warda Spa Organic,Số 165 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15688928-Reviews-Warda_Spa_Organic-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Ninh Binh Limousine,Số 133 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15686340-Reviews-Ninh_Binh_Limousine-Hanoi.html,3.5,9,6,0,0,0,3,4/21/2022,Hà Nội
Ha Dong Silk,Số 130 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15637951-Reviews-Ha_Dong_Silk-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
Sututam Bespoke Tailoring,Số 235 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15583030-Reviews-Sututam_Bespoke_Tailoring-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Alisa Bella Spa,Số 80 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15582959-Reviews-Alisa_Bella_Spa-Hanoi.html,5,31,30,0,1,0,0,4/21/2022,Hà Nội
Huong Heaven Spa,Số 170 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15576768-Reviews-Huong_Heaven_Spa-Hanoi.html,5,4,3,1,0,0,0,4/21/2022,Hà Nội
Shi Beauty & Spa,Số 310 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15527402-Reviews-Shi_Beauty_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Hưng Thành,Số 176 trên 346 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15511926-Reviews-Hung_Thanh-Hanoi.html,3,2,1,0,0,0,1,4/21/2022,Hà Nội
Nhà may Cao,Số 299 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15354722-Reviews-Cao_Tailor-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Vietnam's Delights (Souvenir & Gift Shop),Số 285 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Trung tâm mua sắm,Đang mở cửa,09:30 - 21:30,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15349192-Reviews-Vietnam_s_Delights_Souvenir_Gift_Shop-Hanoi.html,1,1,0,0,0,0,1,4/21/2022,Hà Nội
Bảo Minh Viên Foot & Body Massage,Số 311 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:30 - 23:00,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15338365-Reviews-Bao_Minh_Vien_Foot_Body_Massage-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Deli Spa,Số 10 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 21:00,179,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15334687-Reviews-Deli_Spa-Hanoi.html,5,344,344,0,0,0,0,4/21/2022,Hà Nội
Sante Spa,Số 246 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15334657-Reviews-Sante_Spa-Hanoi.html,3.5,2,1,0,0,1,0,4/21/2022,Hà Nội
Huong Ha Hair Salon,Số 194 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,08:00 - 20:00,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15327395-Reviews-Huong_Ha_Hair_Salon-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
Silky Việt Nam,Số 207 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,24,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15296933-Reviews-SilkyVietnam_5_Hang_Bong-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Bikram Yoga Hanoi,Số 204 trên 332 Spa & Sức khỏe ở Hà Nội,Yoga & pilate,,,19,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15292482-Reviews-Bikram_Yoga_Hanoi-Hanoi.html,4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
Hanoi Pub Crawl,Số 10 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ • Câu lạc bộ khiêu vũ & vũ trường,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15276838-Reviews-Hanoi_Pub_Crawl-Hanoi.html,5,41,41,0,0,0,0,4/21/2022,Hà Nội
Fuji Massage Linh Lang,Số 222 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15244225-Reviews-Fuji_Massage_Linh_Lang-Hanoi.html,3.5,8,3,2,0,1,2,4/21/2022,Hà Nội
Jump Arena,Số 34 trên 101 Vui chơi & Giải trí ở Hà Nội,Trung tâm trò chơi & giải trí,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15236892-Reviews-Jump_Arena-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
La Belle Spa,Số 6 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,153,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15236803-Reviews-La_Belle_Spa-Hanoi.html,5,621,615,4,0,1,1,4/21/2022,Hà Nội
J-Beauty Spa,Số 312 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15216964-Reviews-J_Beauty_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Le Lounge,Số 140 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,55,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15153249-Reviews-Le_Lounge-Hanoi.html,5,7,7,0,0,0,0,4/21/2022,Hà Nội
Ayla Spa Classic Hanoi,Số 74 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,39,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15044218-Reviews-Ayla_Spa_Classic_Hanoi-Hanoi.html,5,35,35,0,0,0,0,4/21/2022,Hà Nội
Trompe L’oeil Murals,Số 155 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15041575-Reviews-Trompe_L_oeil_Murals-Hanoi.html,4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
NBAC - Noi Bai Cars Services,Số 335 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,00:00 - 23:59,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15028654-Reviews-NBAC_Noi_Bai_Cars_Services-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Studio Adventure Collective,Số 149 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14919954-Reviews-Studio_Adventure_Collective-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Ninh Binh Car Rental,Số 103 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,06:00 - 20:00,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14901809-Reviews-Ninh_Binh_Car_Rental-Hanoi.html,5,5,4,1,0,0,0,4/21/2022,Hà Nội
Blue Butterfly Cooking Class,Số 9 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,497,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1488975-Reviews-Blue_Butterfly_Cooking_Class-Hanoi.html,5,503,437,51,9,3,3,4/21/2022,Hà Nội
Thư Viện Quận Hoàn Kiếm,Số 212 trong 259 hoạt động giải trí tại Hà Nội,Thư viện,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14860534-Reviews-Hoan_Kiem_District_Library-Hanoi.html,2.5,2,0,0,1,1,0,4/21/2022,Hà Nội
Hanoi Rides On Time,Số 39 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14802095-Reviews-Hanoi_Rides_On_Time-Hanoi.html,5,40,40,0,0,0,0,4/21/2022,Hà Nội
Vietnam Car Transport,Số 49 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14776417-Reviews-Vietnam_Car_Transport-Hanoi.html,5,22,22,0,0,0,0,4/21/2022,Hà Nội
Tiệm May Cô Cải,Số 385 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14767106-Reviews-Tiem_May_Co_Cai-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
La Hằng,Số 153 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14216974-Reviews-La_Hang-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Nội Bài Happy Car,Số 336 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14206063-Reviews-Noi_Bai_Happy_Car-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
The Spa,Số 314 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14199319-Reviews-The_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Hầm D67,Số 153 trong 259 hoạt động giải trí tại Hà Nội,Căn cứ & doanh trại quân đội,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14166580-Reviews-Building_D67-Hanoi.html,4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
Sapa Store,Số 387 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14166392-Reviews-Sapa_Store-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
DK Sansan & Gisy,Số 388 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14115625-Reviews-DK_Sansan_Gisy-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
VEIN Adventure,Số 239 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 18:00,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14108930-Reviews-VEIN_Adventure-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Beautiful Spa,Số 114 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,46,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14086595-Reviews-Beautiful_Spa-Hanoi.html,4.5,22,19,0,0,1,2,4/21/2022,Hà Nội
The Garden Nail Spa,Số 39 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 19:00,654,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14051370-Reviews-The_Garden_Nail_Spa-Hanoi.html,5,165,154,5,0,6,0,4/21/2022,Hà Nội
Khu Du Lịch Sinh Thái Thiên Phú Lâm,Số 178 trong 259 hoạt động giải trí tại Hà Nội,Công viên • Sân chơi,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14042251-Reviews-Khu_Du_Lich_Sinh_Thai_Thien_Phu_Lam-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
GIỮ Social Enterprise,Số 85 trên 179 Lớp học & hội thảo ở Hà Nội,Buổi học & hội thảo,Đang mở cửa,10:00 - 18:00,26,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14037801-Reviews-GIU_Social_Enterprise-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
Hanoia Hoa Lo,Số 389 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13984933-Reviews-Hanoia_Hoa_Lo-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Buddha Gallery,Số 127 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:00 - 23:00,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13911160-Reviews-Buddha_Gallery-Hanoi.html,5,5,4,1,0,0,0,4/21/2022,Hà Nội
Tinh Hoa Bắc Bộ,Số 6 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,Đang đóng cửa,19:00 - 20:00,80,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13873395-Reviews-The_Quintessence_of_Tonkin-Hanoi.html,4.5,191,153,22,7,3,6,4/21/2022,Hà Nội
Câu Lạc Bộ Gôn Vân Trì,Số 554 trên 949 Hoạt động ngoài trời ở Hà Nội,Sân gôn,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13534935-Reviews-Van_Tri_Golf_Club-Hanoi.html,4.5,6,3,2,1,0,0,4/21/2022,Hà Nội
Vietnamese Cooking Class and Language Exchange,Số 174 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13441516-Reviews-Vietnamese_Cooking_Class_and_Language_Exchange-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
The Touch Spa,Số 29 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,70,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13354761-Reviews-The_Touch_Spa-Hanoi.html,5,163,158,2,1,0,2,4/21/2022,Hà Nội
My Dinh National Stadium,Số 205 trong 259 hoạt động giải trí tại Hà Nội,Đấu trường & sân vận động,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13312162-Reviews-My_Dinh_National_Stadium-Hanoi.html,3,1,0,0,1,0,0,4/21/2022,Hà Nội
Hồ Linh Đàm,Số 127 trong 259 hoạt động giải trí tại Hà Nội,Vùng nước,Đang mở cửa,00:00 - 23:59,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13297736-Reviews-Linh_Dam_Lake-Hanoi.html,4,6,2,2,2,0,0,4/21/2022,Hà Nội
Three Trees Day Spa,Số 146 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13089369-Reviews-Three_Trees_Day_Spa-Hanoi.html,4.5,10,9,0,0,0,1,4/21/2022,Hà Nội
Cinnamon Spa,Số 38 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,304,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12991619-Reviews-Cinnamon_Spa-Hanoi.html,5,233,211,18,3,1,0,4/21/2022,Hà Nội
La Sante Spa,Số 178 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12925334-Reviews-La_Sante_Spa-Hanoi.html,4,6,4,1,0,0,1,4/21/2022,Hà Nội
Miniwood Design,Số 246 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 19:30,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12906362-Reviews-Miniwood_Design-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Massage Hương Sen,Số 167 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12878828-Reviews-Massage_Huong_Sen-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
